Actinomyces,Actinobaculum,Alloprevotella,Catonella,Atopobium,Alistipes,Bacteroides,Incertae_Sedis,Bifidobacterium,Scardovia,Blautia,Capnocytophaga,Campylobacter,Corynebacterium,Enterococcus,Johnsonella,Fretibacterium,Lactobacillus,Stomatobaculum,Leptotrichia,Mycoplasma,Megasphaera,Mogibacterium,Methylobacterium,Oribacterium,Olsenella,Peptoniphilus,Phocaeicola,Porphyromonas,Prevotella,Pseudomonas,Parvimonas,Selenomonas,Sphingobium,Streptococcus,Shuttleworthia,Treponema,Solobacterium,Akkermansia,Lachnoanaerobaculum,Fusobacterium,Escherichia_Shigella,Peptostreptococcus,Neisseria,Bergeyella,Lautropia,Dialister,Kingella,Paludibacter,Veillonella,Abiotrophia,Tannerella,Haemophilus,Xanthomonas,Gemella,Delftia,Tumebacillus,Lactococcus,Anaerococcus,Enterobacter,Rothia,Staphylococcus
161,4,52,0,23,0,2,0,0,2,0,374,16,14,82,0,0,0,3,64,0,10,3,0,0,0,0,0,413,1212,0,0,9,0,11473,0,0,3,0,0,78,0,4,1214,18,28,1,781,0,803,0,11,1710,0,184,0,0,0,0,0,100,3
141,0,49,0,0,3,1,2,0,208,0,108,231,282,102,5,0,21,29,70,1,0,20,0,16,6,3,0,0,101,184,0,185,142,791,0,0,0,0,0,34,512,0,15,0,1,17,0,0,33,0,4,98,856,24,140,66,2057,14,116,562,4463
495,68,26,5,23,1,87,41,0,0,21,109,2484,7,10253,19,118,366,21,28035,0,29,0,14,73,20,4,265,7,1914,39,4,482,71,18,4,1107,0,17,67,421,0,0,71,0,0,14,0,10,4168,0,15,7,97,1756,35,0,6,0,1,3552,17
2765,26,90,44,7,0,34,30,0,0,4,3770,433,33,775,59,0,21,296,6946,0,0,0,0,58,0,0,0,236,945,10,0,57,25,5657,0,21,4,39,1148,740,19,4,39,0,2,25,0,0,2775,1,8,16,5,24193,7,0,25,0,34,3118,38
4736,10,0,0,0,0,0,35,3,0,1,15,356,121,1,0,0,357,0,0,0,22,0,15,7,0,29,0,0,19,24,0,370,734,258,0,34,0,0,0,5,456,0,0,0,0,0,0,262,120,0,69,1,1634,23,181,51,0,36,78,66,96
1387,12,533,36,875,3,10,3,30,141,2,4,322,1,0,9,3,8,1965,16501,0,798,102,0,715,65,0,4,6,25452,0,1,181,1,10692,246,171,52,3,1826,294,0,0,3,34,0,469,0,1,4400,0,6,3,3,914,3,0,1,0,0,1151,1
13,0,0,28,9,0,1,2,0,0,3,256,197,296,130,0,0,1,0,487,0,2,0,0,41,0,0,0,318,1936,0,8,24,0,15306,0,24,5,1,28,3130,1,0,0,290,0,3,1,2,616,0,0,4246,0,422,2,0,0,1,0,212,2
1854,8,744,26,3,0,3,4,0,3,1,0,1106,3,901,50,0,0,53,1320,6,1,0,0,67,0,1,0,247,3548,5,10,1,0,15184,0,30,1,0,94,1704,5,15,2,0,0,0,0,0,1449,33,24,0,0,1235,4,1,0,3,0,7219,4
68,0,206,63,20,4,540,76,9,0,38,0,672,3,142,5,0,9,0,837,0,0,8,1,92,0,1,0,0,1897,10,32,13,21,43051,12,62,15,3,87,2032,180,0,1,287,0,0,0,45,591,0,7,7,18,6342,6,0,0,0,7,2826,5
4299,51,188,18,461,2,20,51,325,193,2,44,1323,6,6,13,4,436,495,3800,0,208,200,0,506,0,1,7,3,23211,0,0,206,0,23393,145,170,189,0,385,345,4,0,1,220,1,85,0,5,7462,1,1,4,26,351,1,0,1,0,6,2003,0
131,0,2463,0,207,0,1,3,2,249,0,0,428,0,1,0,134,208,3,0,276,0,14,50,174,3,120,0,92,3267,3,39,1239,0,2563,0,3,1,2,18,1512,4,0,0,0,1,61,0,0,1,0,8,0,0,0,1,0,1707,1,0,7992,8
104,11,0,0,0,0,19,703,0,0,0,2,1517,14,3,17,124,13,0,76,6691,0,48,48,0,9,101,36,398,42,0,325,34,0,76,0,581,0,0,0,308,8,3,68,0,221,11,0,594,10,0,324,95,0,14,22,401,0,85,29,90,58
32,0,0,0,1,0,0,0,1,276,1,0,86,0,410,0,0,6978,0,1,4242,0,0,3,0,0,0,6,0,0,3,3,2,0,81,0,1,0,1,0,0,1,0,0,0,0,2,0,19,7504,0,56,1,10,0,5,0,0,0,1,1,0
489,0,510,0,228,5,65,21,0,0,2,0,240,5,12183,0,0,7,0,43,20,192,0,0,0,1,21,5,260,4766,37,5,3,1,5,0,77,0,8,0,3,0,75,1,0,1,31,0,0,381,14,0,5,0,1,0,0,22,11,6,29537,34
615,11,97,80,23,8,52,962,0,0,12,2475,2551,46,803,184,25,0,6118,635,117,1,430,0,810,0,0,0,1752,3275,0,3000,343,0,3507,0,715,15,6,443,29,5,592,5762,390,2291,1275,4035,230,2526,3007,191,15303,111,121,3,0,2,0,22,307,9
120,0,0,0,0,0,0,0,0,0,0,0,24,43,0,0,0,6,0,1,12,0,0,39,0,0,0,0,20,3,1,5,2,0,78,0,0,0,0,0,35,20,0,0,0,0,0,0,56,0,0,0,0,0,0,0,2,4,0,17,304,9
907,16,0,0,171,2,31,1,0,26,15,0,53,0,0,0,0,8993,11,9,64,0,0,36,28,33,0,7,0,339,24,0,65,0,324,14,10,24,0,0,13,13,0,0,0,0,33,0,0,39,0,0,69,0,0,4,1,219,0,0,269,471
12,0,9,0,2,5,11,21,0,0,56,2,37,7,0,0,0,48,0,0,44,0,0,0,0,0,0,33,62,38,5,0,4,0,55,0,36,0,27,0,0,0,0,9450,0,0,8,141,48,0,0,42,4569,9,9,1,0,1,0,1,5,2
5,0,2,0,0,0,4,3,0,0,0,1,20,2,13,0,8,1,0,9,29,0,5,32,0,0,0,0,2,20,0,0,2,8,11,0,10,0,0,0,13,12,7,4818,3,5017,3,601,4,0,1,3,545,18,0,1,0,0,0,0,2,2
2823,0,191,0,110,0,0,0,409,3204,1,441,318,70,171,0,0,841,38,259,161,18,57,67,8,0,0,0,365,1671,0,913,722,6,1520,0,0,87,0,15,1543,0,0,3,34,0,0,0,0,1194,5,264,85,0,68,10,0,0,9,55,1446,26
7777,176,301,6,1,0,2,2,0,35,4,0,2023,23,9233,1,0,5,38,15626,13,0,0,0,131,0,11,0,642,3242,3,0,2,8,18651,3,31,0,0,246,7191,9,44,2,0,6,8,0,0,13206,2,86,3,102,183,1,0,1,0,3,842,21
262,9,55,0,82,0,2,48,7,0,0,9,116,29,33,33,0,1,5,1678,32,3,0,3,22,0,0,0,82,2346,2,82,51,0,544,14,69,29,0,3,1180,0,2,10,801,0,102,0,396,2930,0,41,1,37,17,8,54,202,0,1,412,6
43,0,39,0,5,0,0,20,0,0,0,29,28,1,55,0,0,0,4,90,8,3,2,0,33,0,0,0,1,345,1,25,9,0,19602,0,21,0,0,0,635,0,0,0,0,0,11,0,0,279,0,15,0,1,15,0,0,0,0,0,336,3
444,224,6615,1006,96,3,12,1147,4,0,2,181,1148,330,5,504,19,1,535,7116,7,95,46,0,204,0,1,4,2436,4141,5,2114,114,0,970,38,7775,17,1,626,16572,10,9,8,0,4,23,0,4,1353,1,2,6,27,828,1,0,0,4,4,1603,17
360,0,997,0,161,0,6,17,2,0,2,115,326,1,1002,0,0,1,0,209,13,11,0,0,5,1,0,0,685,3067,12,0,122,6,930,0,2,0,0,0,1185,8,123,0,430,0,0,0,41,4249,20,286,0,14,0,0,0,4603,3,1,1147,7
543,0,1012,0,123,3,19,2,0,0,3,0,361,0,852,0,0,0,0,67,36,6,0,0,17,0,0,0,1,3350,54,1,92,3,2907,0,46,0,8,3,505,24,65,0,0,0,3,0,9,5449,0,8,2,22,0,0,0,6,0,6,2252,18
110,1,100,10,3,0,0,10,0,2,0,25,37,31,36,7,1,0,16,231,6,1,0,0,43,0,0,0,410,425,0,3,5,0,7306,0,13,2,0,5,818,0,2,444,41,89,18,58,72,195,1,33,3842,0,336,0,0,0,0,0,547,1
327,0,6,9,90,0,1,30,0,682,0,0,976,19,1,0,0,447,15,0,1,106,17,0,71,0,0,0,0,15205,0,22,0,0,436,201,210,71,0,3,8,1,0,0,0,0,91,0,0,2102,0,0,0,0,90,0,0,0,0,0,235,2
17,0,9,8,13,1,78,4,0,8,1,3,195,1,9,4,0,3,74,1883,2,16,1,2,24,0,0,0,10410,2378,0,3,45,0,144,3,11,127,0,145,22,4,0,75,179,7,9,2,2,567,0,2,5992,4,1834,0,97,0,0,4,3,9
2028,16,1,2,393,0,1,48,387,251,0,388,1636,27,92,0,0,232,300,989,2,50,0,0,394,1,0,6,4,5498,1,0,2520,0,558,33,539,8,0,82,3,0,2,0,34,0,0,279,0,407,0,0,127,0,409,0,17,0,0,0,505,15
90,0,338,0,8,0,1,1,3,0,0,1462,706,0,256,0,0,0,0,1259,5,0,0,0,0,0,3,0,324,3849,2,0,0,0,10644,0,8,0,0,72,257,2,41,0,466,0,0,0,0,400,420,0,0,1,96,0,0,7,0,2,380,0
328,14,2,0,118,0,3,3,1,0,1,0,390,9,1719,0,2,0,164,2223,1,86,4,0,22,2,1,0,8,1817,0,1,0,1,7380,0,4,20,0,157,40,3,0,0,0,1,4,0,0,2509,0,1,1,6,1846,2,2,0,5,1,3453,14
403,0,2,0,0,0,4,2,1,6,1,7,21,29,564,0,0,180,3,8,3,3,0,0,8,0,0,0,0,138,49,6,17,0,14328,0,0,0,0,4,70,0,0,0,0,0,1,0,0,1777,0,0,1,0,386,0,8,0,0,4,4477,26
320,0,263,43,78,0,0,1,17,0,0,0,1096,0,0,5,9,16,130,2229,2,99,0,7,173,2,2,0,5,4347,0,0,51,0,427,89,2387,69,0,288,54,0,0,0,0,0,0,0,9,443,0,6,0,0,3003,0,0,0,0,0,1010,0
114,4,55,25,29,0,0,1,0,0,0,120,430,2,503,7,0,0,30,1399,2,9,3,20,107,2,0,0,190,679,0,3,24,2,1406,0,14,0,0,75,315,0,1,2,39,0,5,3,18,1373,0,3,2086,0,185,0,0,0,0,0,1980,0
740,141,49,115,415,14,111,148,26,6956,13,66,565,190,2,21,0,0,48,1,0,138,0,62,394,99,0,0,0,879,213,63,215,80,77,0,58,0,6,23,181,96,0,28108,0,38,388,0,110,85,2,0,21,622,3,20,0,5125,37,122,1135,119
26,122,3,2,5,1,1,1,0,24,0,137,2246,0,298,32,0,0,19,2093,0,0,3,0,6,0,0,0,1054,1065,0,1,4,0,5325,0,12,0,0,85,2618,4,0,0,971,0,0,0,2,118,0,0,1,0,3998,0,0,0,0,0,1057,1
