test_error,# of Samples,Index of Predicted Column,Algorithm,algorithm
0.31267172456597353,228,30,Pearson Correlation,LassoCV
0.29210772321616735,208,30,Pearson Correlation,LassoCV
0.2832049547269226,188,30,Pearson Correlation,LassoCV
0.30726945278917495,168,30,Pearson Correlation,LassoCV
0.3138980491622075,148,30,Pearson Correlation,LassoCV
0.30105154820634666,128,30,Pearson Correlation,LassoCV
0.3152711760429078,108,30,Pearson Correlation,LassoCV
0.326099999675638,88,30,Pearson Correlation,LassoCV
0.32639416799849896,68,30,Pearson Correlation,LassoCV
0.4394375535238126,48,30,Pearson Correlation,LassoCV
0.5340656287731328,28,30,Pearson Correlation,LassoCV
0.311424258103834,288,31,Pearson Correlation,LassoCV
0.3109507043676221,268,31,Pearson Correlation,LassoCV
0.31698721404928243,248,31,Pearson Correlation,LassoCV
0.30994671359327214,228,31,Pearson Correlation,LassoCV
0.3040017659767121,208,31,Pearson Correlation,LassoCV
0.3198025133092055,188,31,Pearson Correlation,LassoCV
0.3113421397915425,168,31,Pearson Correlation,LassoCV
0.3107098625409131,148,31,Pearson Correlation,LassoCV
0.286969952375848,128,31,Pearson Correlation,LassoCV
0.31107387348414345,108,31,Pearson Correlation,LassoCV
0.3226187676865768,88,31,Pearson Correlation,LassoCV
0.5137190360517346,68,31,Pearson Correlation,LassoCV
0.33157085559481386,48,31,Pearson Correlation,LassoCV
0.3403858642304734,28,31,Pearson Correlation,LassoCV
0.5276593078967312,288,32,Pearson Correlation,LassoCV
0.5189448975480271,268,32,Pearson Correlation,LassoCV
0.5121580033976544,248,32,Pearson Correlation,LassoCV
0.5251284606255542,228,32,Pearson Correlation,LassoCV
0.5215598796638142,208,32,Pearson Correlation,LassoCV
0.5451885483951365,188,32,Pearson Correlation,LassoCV
0.5302633918587165,168,32,Pearson Correlation,LassoCV
0.5102879010872385,148,32,Pearson Correlation,LassoCV
0.5471134849271442,128,32,Pearson Correlation,LassoCV
0.5787016942095321,108,32,Pearson Correlation,LassoCV
0.7672371526070974,88,32,Pearson Correlation,LassoCV
0.7152313026890772,68,32,Pearson Correlation,LassoCV
0.6341807673494196,48,32,Pearson Correlation,LassoCV
0.5627194843614008,28,32,Pearson Correlation,LassoCV
0.1769385602293491,288,33,Pearson Correlation,LassoCV
0.16272756405150512,268,33,Pearson Correlation,LassoCV
0.15657855167494958,248,33,Pearson Correlation,LassoCV
0.16889565374060458,228,33,Pearson Correlation,LassoCV
0.13965354945889466,208,33,Pearson Correlation,LassoCV
0.13103680667873577,188,33,Pearson Correlation,LassoCV
0.1596470578308085,168,33,Pearson Correlation,LassoCV
0.1389690864190268,148,33,Pearson Correlation,LassoCV
0.1470228717317421,128,33,Pearson Correlation,LassoCV
0.1659269051825397,108,33,Pearson Correlation,LassoCV
0.20948518055988094,88,33,Pearson Correlation,LassoCV
0.2179160822103509,68,33,Pearson Correlation,LassoCV
0.13386134617913872,48,33,Pearson Correlation,LassoCV
0.4409810936080421,28,33,Pearson Correlation,LassoCV
0.223490610076335,288,34,Pearson Correlation,LassoCV
0.25306589637070354,268,34,Pearson Correlation,LassoCV
0.2540790419285542,248,34,Pearson Correlation,LassoCV
0.2477486800801717,228,34,Pearson Correlation,LassoCV
0.24493066636595537,208,34,Pearson Correlation,LassoCV
0.2624845021234629,188,34,Pearson Correlation,LassoCV
0.2579540294626514,168,34,Pearson Correlation,LassoCV
0.23571395145028062,148,34,Pearson Correlation,LassoCV
0.26998468723073227,128,34,Pearson Correlation,LassoCV
0.26398903871586615,108,34,Pearson Correlation,LassoCV
0.2968605464163934,88,34,Pearson Correlation,LassoCV
0.4167296650562109,68,34,Pearson Correlation,LassoCV
0.4937692647727611,48,34,Pearson Correlation,LassoCV
0.6143493565764057,28,34,Pearson Correlation,LassoCV
0.44672312958089716,288,35,Pearson Correlation,LassoCV
0.45468801208935755,268,35,Pearson Correlation,LassoCV
0.4467574547022024,248,35,Pearson Correlation,LassoCV
0.4305549600160248,228,35,Pearson Correlation,LassoCV
0.4702564815612027,208,35,Pearson Correlation,LassoCV
0.450847984612275,188,35,Pearson Correlation,LassoCV
